dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,12.737622,5.047991,12.766408,3.999317,-0.013829,-0.000000,0.090774
0.050000,12.936731,5.066106,12.966340,3.998626,-0.013829,-0.000004,0.090680
0.050000,13.135808,5.084195,13.166236,3.997934,-0.013830,-0.000008,0.090539
0.050000,13.334853,5.102247,13.366098,3.997243,-0.013830,-0.000012,0.090350
0.050000,13.533868,5.120255,13.565926,3.996551,-0.013831,-0.000016,0.090115
0.050000,13.732852,5.138207,13.765719,3.995860,-0.013832,-0.000019,0.089832
0.050000,13.931808,5.156096,13.965477,3.995168,-0.013833,-0.000023,0.089502
0.050000,14.130736,5.173911,14.165201,3.994476,-0.013834,-0.000026,0.089124
0.050000,14.329636,5.191643,14.364890,3.993784,-0.013836,-0.000029,0.088700
0.050000,14.528510,5.209283,14.564545,3.993093,-0.013837,-0.000032,0.088228
0.050000,14.727358,5.226821,14.764165,3.992401,-0.013839,-0.000035,0.087709
0.050000,14.926181,5.244249,14.963750,3.991709,-0.013841,-0.000037,0.087143
0.050000,15.124980,5.261556,15.163301,3.991016,-0.013843,-0.000039,0.086529
0.050000,15.323756,5.278734,15.362818,3.990324,-0.013845,-0.000041,0.085868
0.050000,15.522508,5.295772,15.562299,3.989632,-0.013847,-0.000042,0.085160
0.050000,15.721239,5.312662,15.761746,3.988939,-0.013849,-0.000043,0.084404
0.050000,15.919948,5.329395,15.961158,3.988247,-0.013852,-0.000043,0.083602
0.050000,16.118636,5.345960,16.160536,3.987554,-0.013854,-0.000043,0.082751
0.050000,16.317304,5.362349,16.359879,3.986861,-0.013856,-0.000043,0.081854
0.050000,16.515953,5.378551,16.559188,3.986168,-0.013858,-0.000042,0.080909
0.050000,16.714583,5.394559,16.758461,3.985475,-0.013860,-0.000040,0.079917
0.050000,16.913194,5.410363,16.957700,3.984782,-0.013862,-0.000038,0.078878
0.050000,17.111788,5.425952,17.156905,3.984089,-0.013864,-0.000035,0.077791
0.050000,17.310364,5.441318,17.356075,3.983396,-0.013865,-0.000031,0.076657
0.050000,17.508923,5.456452,17.555210,3.982703,-0.013866,-0.000027,0.075475
0.050000,17.707466,5.471343,17.754310,3.982009,-0.013868,-0.000022,0.074246
0.050000,17.905993,5.485984,17.953376,3.981316,-0.013868,-0.000016,0.072970
0.050000,18.104504,5.500364,18.152407,3.980622,-0.013869,-0.000010,0.071647
0.050000,18.302999,5.514474,18.351404,3.979929,-0.013869,-0.000003,0.070276
0.050000,18.501480,5.528304,18.550365,3.979235,-0.013869,0.000005,0.068857
0.050000,18.699945,5.541846,18.749293,3.978542,-0.013868,0.000014,0.067392
0.050000,18.898396,5.555091,18.948185,3.977849,-0.013867,0.000024,0.065879
0.050000,19.096833,5.568028,19.147043,3.977155,-0.013865,0.000035,0.064318
0.050000,19.295255,5.580648,19.345866,3.976462,-0.013863,0.000047,0.062710
0.050000,19.493663,5.592943,19.544654,3.975769,-0.013860,0.000060,0.061055
0.050000,19.692057,5.604902,19.743408,3.975076,-0.013856,0.000073,0.059353
0.050000,19.890436,5.616517,19.942127,3.974384,-0.013852,0.000088,0.057603
0.050000,20.088801,5.627778,20.140812,3.973692,-0.013846,0.000104,0.055806
0.050000,20.287152,5.638676,20.339462,3.973000,-0.013840,0.000121,0.053962
0.050000,20.485488,5.649202,20.538077,3.972308,-0.013834,0.000139,0.052071
0.050000,20.683810,5.659346,20.736658,3.971617,-0.013826,0.000158,0.050132
0.050000,20.882116,5.669099,20.935204,3.970926,-0.013817,0.000178,0.048146
0.050000,21.080408,5.678452,21.133716,3.970235,-0.013807,0.000200,0.046113
0.050000,21.278683,5.687396,21.332193,3.969546,-0.013796,0.000223,0.044033
0.050000,21.476943,5.695921,21.530636,3.968856,-0.013783,0.000247,0.041905
0.050000,21.675186,5.704018,21.729045,3.968168,-0.013770,0.000272,0.039731
0.050000,21.873412,5.711678,21.927419,3.967480,-0.013755,0.000299,0.037510
0.050000,22.071621,5.718892,22.125758,3.966793,-0.013738,0.000327,0.035242
0.050000,22.266228,5.725533,22.320479,3.894417,-1.447527,-28.675783,0.032969
0.050000,22.453566,5.731503,22.507912,3.748650,-2.915343,-29.356305,0.030738
0.050000,22.633547,5.736841,22.687972,3.601205,-2.948889,-0.670935,0.028556
0.050000,22.806173,5.741588,22.860663,3.453831,-2.947493,0.027930,0.026426
0.050000,22.971446,5.745786,23.025990,3.306523,-2.946156,0.026745,0.024354
0.050000,23.129367,5.749474,23.183954,3.159279,-2.944878,0.025562,0.022343
